number,title,outline,director,rating
1,웅남이,"코미디, 액션",박성광,7.02
2,스즈메의 문단속,애니메이션,신카이 마코토,8.26
3,파벨만스,드라마,스티븐 스필버그,8.88
4,던전 앤 드래곤: 도적들의 명예,"액션, 모험, 판타지",조나단 골드스타인,8.40
5,소울메이트,드라마,민용근,8.67
6,더 퍼스트 슬램덩크,애니메이션,이노우에 다케히코,9.44
7,에브리씽 에브리웨어 올 앳 원스+,"액션, 코미디",다니엘 콴,7.79
8,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",애니메이션,소토자키 하루오,4.96
9,리바운드,드라마,장항준,
10,아임 히어로 더 파이널,"다큐멘터리, 공연실황",오윤동,9.82
11,샤잠! 신들의 분노,"액션, 모험",데이비드 F. 샌드버그,6.49
12,모나리자와 블러드 문,"판타지, 미스터리, 스릴러",애나 릴리 아미푸르,7.11
13,대외비,"범죄, 드라마",이원태,6.20
14,플레인,"액션, 스릴러",장-프랑소와 리셰,7.91
15,TAR 타르,드라마,토드 필드,7.80
16,오토라는 남자,"코미디, 드라마",마크 포스터,8.42
17,존 윅 4,액션,채드 스타헬스키,
18,포커페이스,"스릴러, 범죄",러셀 크로우,5.24
19,킬링 로맨스,코미디,이원석,
20,아바타: 물의 길,"액션, 모험, SF, 스릴러",제임스 카메론,8.65
